Idempresa,N_Sucursal,Codigoct,Idtransformador,Idalimentador,Cantusubt,Tipoinstalacion,Nro de circuito,Resultado Circuito,Codigo,N_Ubicacio,Potencia,Marca,Chapa,Q_Usuarios,N_Localida,Expr1016,Nro_EPRE,Resultado,P o G,Alimentador,N_Alimenta,Tipo_Alimentador,Nro de medicion,Coord_X,Coord_Y
E,CIPOLLETTI,A001,1.0,SA001-2,121,M,2.0,Sin medir,A001,"BELGRANO Y 9 DE JUL.IO 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",630.0,NED,5145.0,363.0,CIPOLLETTI,MAITEN,,,-,,MAITEN,,-1,-67.998379999927,-38.936022033321
E,CIPOLLETTI,A001,1.0,SA001-3,38,M,3.0,Sin medir,A001,"BELGRANO Y 9 DE JUL.IO 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",630.0,NED,5145.0,363.0,CIPOLLETTI,MAITEN,,,-,,MAITEN,,-1,-67.998379999927,-38.936022033321
E,CIPOLLETTI,A001,1.0,SA001-4,48,M,4.0,Sin medir,A001,"BELGRANO Y 9 DE JUL.IO 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",630.0,NED,5145.0,363.0,CIPOLLETTI,MAITEN,,,-,,MAITEN,,-1,-67.998379999927,-38.936022033321
E,CIPOLLETTI,A001,1.0,SA001-5,0,M,5.0,Sin medir,A001,"BELGRANO Y 9 DE JUL.IO 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",630.0,NED,5145.0,363.0,CIPOLLETTI,MAITEN,,,-,,MAITEN,,-1,-67.998379999927,-38.936022033321
E,CIPOLLETTI,A001,1.0,SA001-6,88,M,6.0,Sin medir,A001,"BELGRANO Y 9 DE JUL.IO 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",630.0,NED,5145.0,363.0,CIPOLLETTI,MAITEN,,,-,,MAITEN,,-1,-67.998379999927,-38.936022033321
E,CIPOLLETTI,A001,1.0,SA001-7,1,M,7.0,Sin medir,A001,"BELGRANO Y 9 DE JUL.IO 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",630.0,NED,5145.0,363.0,CIPOLLETTI,MAITEN,,,-,,MAITEN,,-1,-67.998379999927,-38.936022033321
E,CIPOLLETTI,A002,1.0,SA002-3,87,M,3.0,Sin medir,A002,"EDIFICIO CIPOLLETTI 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",630.0,NED,6207.0,233.0,CIPOLLETTI,MAITEN,,,-,,MAITEN,,-1,-67.996295977372,-38.938166012528
E,CIPOLLETTI,A002,1.0,SA002-4,68,M,4.0,Fallido,A002,"EDIFICIO CIPOLLETTI 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",630.0,NED,6207.0,233.0,CIPOLLETTI,MAITEN,A0021G0,Fallida,G,MAITEN,MAITEN,Urbano,0,-67.996295977372,-38.938166012528
E,CIPOLLETTI,A002,1.0,SA002-4,68,M,4.0,Fallido,A002,"EDIFICIO CIPOLLETTI 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",630.0,NED,6207.0,233.0,CIPOLLETTI,MAITEN,A0021P0,Correcta,P,MAITEN,MAITEN,Urbano,0,-67.996295977372,-38.938166012528
E,CIPOLLETTI,A002,1.0,SA002-5,43,M,5.0,Sin medir,A002,"EDIFICIO CIPOLLETTI 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",630.0,NED,6207.0,233.0,CIPOLLETTI,MAITEN,,,-,,MAITEN,,-1,-67.996295977372,-38.938166012528
