size_mw,category,need_factor,payback
1,Pequeño (1-5 MW),0.0,7.871117263528627
1,Pequeño (1-5 MW),0.25,7.00763664856119
1,Pequeño (1-5 MW),0.5,6.314879124180477
1,Pequeño (1-5 MW),0.75,5.746767943040852
1,Pequeño (1-5 MW),1.0,5.272438766471651
10,Mediano (5-20 MW),0.0,7.680722939314353
10,Mediano (5-20 MW),0.25,7.333225708587937
10,Mediano (5-20 MW),0.5,7.015810942668142
10,Mediano (5-20 MW),0.75,6.724734398746787
10,Mediano (5-20 MW),1.0,6.456848455358614
50,Muy Grande (50-100 MW),0.0,6.842594211123901
50,Muy Grande (50-100 MW),0.25,6.577211854286752
50,Muy Grande (50-100 MW),0.5,6.331646049923309
50,Muy Grande (50-100 MW),0.75,6.103757082557834
50,Muy Grande (50-100 MW),1.0,5.891702585565647
100,Utility Scale (>100 MW),0.0,5.813103975544696
100,Utility Scale (>100 MW),0.25,5.621863947502856
100,Utility Scale (>100 MW),0.5,5.44280601572452
100,Utility Scale (>100 MW),0.75,5.274802100393898
100,Utility Scale (>100 MW),1.0,5.116859233615355
